MES-AÑO;BOGOTA;BUCARAMANGA;CUCUTA;DORADA;EL QUIMBO;FLORENCIA;IBAGUE;NEIVA;VALLEDUPAR;VILLAVICENCIO;YOPAL
2011/01/30;128816;;;8071;;3945;18898;15072;;16486;7365
2011/02/28;120433;;;4980;;3449;19825;15629;;16048;8544
2011/03/30;172991;;;10628;;5753;25840;32641;;23033;12764
2011/04/30;140562;;;3873;;1524;21547;17256;;16717;6757
2011/05/30;107531;;;4965;;2907;10939;11627;;19405;10996
2011/06/30;118380;;;5848;;2983;11697;14663;;16970;10565
2011/07/30;128443;;;6655;;4398;12773;14715;;18526;11480
2011/08/30;132631;;;7036;;3384;11577;14610;;17815;10712
2011/09/30;135106;;;10089;;3506;12474;15349;;18964;12412
2011/10/30;133328;;;8190;;4452;13391;15742;;18430;12272
2011/11/30;175453;;;7970;;3999;13651;16052;;20578;13761
2011/12/30;123075;;;6394;;3981;11775;15563;;15482;12046
2012/01/30;150751;;;6714;;2821;14215;14961;;21714;17439
2012/02/28;142943;;;6650;;3496;11149;12691;;17953;14932
2012/03/30;131924;;;6720;;2855;13952;15601;;17345;14999
2012/04/30;130568;;;6539;;3296;10708;14225;;19519;12409
2012/05/30;141682;;;7201;;4213;13176;15226;;19084;12416
2012/06/30;151909;;;3626;;4417;12462;16943;;20582;13224
2012/07/30;149893;;;7001;;3103;12302;13298;;22930;13160
2012/08/30;135432;;;4525;;3761;12598;13491;;19556;10674
2012/09/30;127144;;;6182;;3163;9792;15405;;21005;12250
2012/10/30;144570;;;4835;;3635;8761;13639;;21754;12504
2012/11/30;135317;;;7012;;3526;10622;15835;;22550;13651
2012/12/30;153004;;;6397;;4137;11973;15869;;23133;12677
2013/01/30;139567;;;7030;;3460;10294;11505;;20553;11810
2013/02/28;134993;9325;1100;4190;;3457;11003;13165;888;19832;16164
2013/03/30;146244;30284;4516;4808;;3629;11878;11808;2791;28159;14418
2013/04/30;127051;19535;1662;3767;;2846;12097;11224;154;22952;13730
2013/05/30;118256;28822;3426;3370;;3016;10287;11130;2240;25453;11527
2013/06/30;113998;30476;3436;4690;;2728;10133;10421;1611;20424;20159
2013/07/30;117047;34862;5894;4506;;3041;13425;14822;2177;22423;11579
2013/08/30;128238;29964;3535;3939;;1589;11182;13009;3275;24669;12612
2013/09/30;119385;29640;4425;4296;;2369;13094;13246;2282;23547;10747
2013/10/30;126333;33949;4947;4537;12706;3827;13856;15900;3381;27430;13622
2013/11/30;102709;25030;5175;4284;7481;4262;12969;14915;1964;28803;9397
2013/12/30;119449;56596;4289;3644;4565;4014;17027;15361;4198;36211;13011
2014/01/30;113358;23341;3601;4683;;4442;14498;14760;3308;30422;13572
2014/02/28;99306;34024;3535;3524;9021;4560;12930;13608;3809;32181;13785
2014/03/30;110571;30384;3285;4303;6711;4163;11883;15083;2627;33268;14250
2014/04/30;134729;36251;5123;5281;-1705;4528;19989;15772;3538;35762;18544
2014/05/30;91734;25331;2120;2685;5611;3750;10311;10842;3579;25665;10883
2014/06/30;87454;28659;4762;2089;5886;3949;11094;12473;3380;26111;14633
