MES-AÑO;Total Galones Ludesa
2011/01/01;198654
2011/02/01;188908
2011/03/01;283650
2011/04/01;208237
2011/05/01;168370
2011/06/01;181107
2011/07/01;196991
2011/08/01;197765
2011/09/01;207900
2011/10/01;205806
2011/11/01;251463
2011/12/01;188315
2012/01/01;228615
2012/02/01;209814
2012/03/01;203396
2012/04/01;197265
2012/05/01;212997
2012/06/01;223164
2012/07/01;221687
2012/08/01;200036
2012/09/01;194940
2012/10/01;209697
2012/11/01;208513
2012/12/01;227190
2013/01/01;204220
2013/02/01;214116
2013/03/01;258536
2013/04/01;215017
2013/05/01;217527
2013/06/01;218077
2013/07/01;229777
2013/08/01;232011
2013/09/01;223031
2013/10/01;260487
2013/11/01;216989
2013/12/01;278364
2014/01/01;225984
2014/02/01;230283
2014/03/01;236528
2014/04/01;283256
2014/05/01;200768
2014/06/01;203238
